Year,quarter,city1,city 1 latitude,city 1 longitude,city2,city 2 latitude,city 2 longitude,fare,,,,,,,city 1 temp,city 1 latitude temp,city 2 longitude temp,city 2 temp,city 2 latitude temp,city 2 longitude temp
2023,1,Denver,39.7392358,-104.990251,"Nashville, Tennessee",36.1626638,-86.7816016,215.16,,,,,,,"Panama City, Florida",30.1588129,-85.6602058,"South Bend, Indiana",41.6763545,-86.2519898
2023,1,Denver,39.7392358,-104.990251,"Washington, DC (Metropolitan Area)",39.1289725,-77.3783789,244.64,,,,,,,"Paso Robles, California",35.6368759,-120.6545022,"Spokane, Washington",47.6579711,-117.4235319
2023,1,Denver,39.7392358,-104.990251,St. Louis,38.6270025,-90.1994042,197.63,,,,,,,"Pensacola, Florida",30.421309,-87.2169149,"Springfield, Illinois",39.7817213,-89.6501481
2023,1,Denver,39.7392358,-104.990251,"Jacksonville, Florida",30.3321838,-81.655651,254.32,,,,,,,"Peoria, Illinois",40.6936488,-89.5889864,"Springfield, Missouri",37.2089572,-93.2922989
2023,1,Denver,39.7392358,-104.990251,Detroit,42.331427,-83.0457538,231.55,,,,,,,Philadelphia,39.9525839,-75.1652215,"St. Cloud, Minnesota",45.5579451,-94.1632404
2023,1,Denver,39.7392358,-104.990251,"Des Moines, Iowa",41.5868353,-93.6249593,163.47,,,,,,,"Phoenix, Arizona",33.4483771,-112.0740373,St. Louis,38.6270025,-90.1994042
2023,1,Denver,39.7392358,-104.990251,Houston,29.7604267,-95.3698028,205.28,,,,,,,Pittsburgh,40.4406248,-79.9958864,"Steamboat Springs, Colorado",40.4849769,-106.8317158
2023,1,Denver,39.7392358,-104.990251,"Orlando, Florida",28.5383832,-81.3789269,236.26,,,,,,,"Plattsburgh, New York",44.6994873,-73.4529124,"Stockton, California",37.9577016,-121.2907796
2023,1,Denver,39.7392358,-104.990251,Minneapolis–Saint Paul,44.9374831,-93.2009998,168.89,,,,,,,"Portland, Maine",43.6590993,-70.2568189,"Syracuse, New York",43.0481221,-76.1474244
2023,1,Denver,39.7392358,-104.990251,New York City,40.7127753,-74.0059728,226.76,,,,,,,"Portland, Oregon",45.515232,-122.6783853,"Tallahassee, Florida",30.4381828,-84.2806235
2023,1,Denver,39.7392358,-104.990251,"Fort Myers, Florida",26.640628,-81.8723084,251.96,,,,,,,"Punta Gorda, Florida",26.9297836,-82.0453664,"Tampa, Florida",27.9516896,-82.4587527
2023,1,Denver,39.7392358,-104.990251,"Spokane, Washington",47.6579711,-117.4235319,217.78,,,,,,,"Raleigh/Durham, NC",35.8991678,-78.8636402,"Tampa, Florida",27.9516896,-82.4587527
2023,1,Denver,39.7392358,-104.990251,"Grand Rapids, Michigan",42.9633599,-85.6680863,200.16,,,,,,,"Reno, Nevada",39.529919,-119.8142691,"Toledo, Ohio",41.6528052,-83.5378674
2023,1,Denver,39.7392358,-104.990251,Las Vegas,36.171563,-115.1391009,165.22,,,,,,,"Richmond, Virginia",37.5407246,-77.4360481,"Traverse City, Michigan",44.7630567,-85.6206317
2023,1,Denver,39.7392358,-104.990251,Indianapolis,39.768403,-86.158068,214.18,,,,,,,"Rochester, New York",43.1565779,-77.6088465,"Trenton, New Jersey",40.2205824,-74.759717
2023,1,Denver,39.7392358,-104.990251,San Francisco,37.7749295,-122.4194155,208.06,,,,,,,"Sacramento, California",38.5815719,-121.4943996,"Tri-Cities, Washington",46.2349999,-119.2233014
2023,1,Denver,39.7392358,-104.990251,Miami,25.7616798,-80.1917902,256.43,,,,,,,Salt Lake City,40.7607793,-111.8910474,"Tucson, Arizona",32.2539787,-110.9741769
2023,1,Denver,39.7392358,-104.990251,Los Angeles,34.0549076,-118.242643,167.87,,,,,,,San Antonio,29.4251905,-98.4945922,"Tulsa, Oklahoma",36.1539816,-95.992775
2023,1,Denver,39.7392358,-104.990251,"Little Rock, Arkansas",34.7444618,-92.2880157,211.26,,,,,,,San Diego,32.715738,-117.1610838,"Valparaiso, Florida",30.5085309,-86.5027282
2023,1,Denver,39.7392358,-104.990251,"Louisville, Kentucky",38.2526647,-85.7584557,242.58,,,,,,,San Francisco,37.7749295,-122.4194155,"Washington, DC (Metropolitan Area)",39.1289725,-77.3783789
2023,1,Denver,39.7392358,-104.990251,"Sacramento, California",38.5815719,-121.4943996,195.79,,,,,,,"Sanford, Florida",28.8028612,-81.269453,"West Palm Beach, Florida",26.7153424,-80.0533746
2023,1,Denver,39.7392358,-104.990251,"Tampa, Florida",27.9516896,-82.4587527,215.89,,,,,,,"Santa Barbara, California",34.4208305,-119.6981901,"Wichita, Kansas",37.6871761,-97.330053
2023,1,Denver,39.7392358,-104.990251,"Kansas City, Missouri",39.0997265,-94.5785667,184.45,,,,,,,"Santa Rosa, California",38.440429,-122.7140548,"Wilmington, North Carolina",34.2103894,-77.8868117
